date,metric,avg,total,count
2021-08-17,Steps,156.4,3128.0,20
2021-09-23,Steps,299.4230769230769,7785.0,26
2021-09-24,Steps,196.9142857142857,6892.0,35
2021-09-25,Steps,69.32142857142857,1941.0,28
2021-09-26,Steps,217.53703703703704,11747.0,54
2021-09-27,Steps,124.92857142857143,5247.0,42
2021-09-28,Steps,133.11111111111111,3594.0,27
2021-09-29,Steps,197.05405405405406,7291.0,37
2021-09-30,Steps,245.55555555555554,11050.0,45
2021-10-01,Steps,99.61538461538461,3885.0,39
2021-10-02,Steps,117.82608695652173,2710.0,23
2021-10-03,Steps,51.2,1280.0,25
2021-10-04,Steps,177.16129032258064,5492.0,31
2021-10-05,Steps,76.97142857142858,2694.0,35
2021-10-06,Steps,117.6470588235294,4000.0,34
2021-10-07,Steps,236.8421052631579,9000.0,38
2021-10-08,Steps,160.97674418604652,6922.0,43
2021-10-09,Steps,230.73529411764707,7845.0,34
2021-10-10,Steps,109.97619047619048,4619.0,42
2021-10-11,Steps,112.39393939393939,3709.0,33
2021-10-12,Steps,169.35294117647058,5758.0,34
2021-11-29,Steps,96.6875,1547.0,16
2021-11-30,Sleep,,0.0,4
2021-11-30,Steps,100.32432432432432,3712.0,37
2021-12-01,Sleep,,0.0,1
2021-12-01,Steps,161.97142857142856,5669.0,35
2021-12-02,Sleep,,0.0,1
2021-12-02,Steps,238.26666666666668,10722.0,45
2021-12-03,Sleep,,0.0,6
2021-12-03,Steps,107.57142857142857,5271.0,49
2021-12-04,Sleep,,0.0,4
2021-12-04,Steps,181.0,5973.0,33
2021-12-05,Sleep,,0.0,1
2021-12-05,Steps,134.82758620689654,3910.0,29
2021-12-06,Sleep,,0.0,5
2021-12-06,Steps,124.08108108108108,4591.0,37
2021-12-07,Sleep,,0.0,1
2021-12-07,Steps,98.08823529411765,3335.0,34
2021-12-08,Sleep,,0.0,2
2021-12-08,Steps,274.9047619047619,11546.0,42
2021-12-09,Sleep,,0.0,1
2021-12-09,Steps,220.075,8803.0,40
2021-12-10,Sleep,,0.0,4
2021-12-10,Steps,267.32142857142856,7485.0,28
2021-12-11,Sleep,,0.0,1
2021-12-11,Steps,175.42222222222222,7894.0,45
2021-12-12,Sleep,,0.0,3
2021-12-12,Steps,109.71052631578948,4169.0,38
2021-12-13,Sleep,,0.0,1
2021-12-13,Steps,205.0222222222222,9226.0,45
2021-12-14,Sleep,,0.0,1
2021-12-14,Steps,75.2,1880.0,25
2021-12-15,Sleep,,0.0,1
2021-12-15,Steps,98.92307692307692,2572.0,26
2021-12-16,Sleep,,0.0,6
2021-12-16,Steps,127.04347826086956,2922.0,23
2021-12-17,Sleep,,0.0,2
2021-12-17,Steps,364.1666666666667,10925.0,30
2021-12-18,Sleep,,0.0,1
2021-12-18,Steps,174.29166666666666,8366.0,48
2021-12-19,Sleep,,0.0,2
2021-12-19,Steps,148.66666666666666,6244.0,42
2021-12-20,Sleep,,0.0,9
2021-12-20,Steps,62.65217391304348,1441.0,23
2021-12-21,Sleep,,0.0,1
2021-12-21,Steps,65.36842105263158,1242.0,19
2021-12-22,Sleep,,0.0,1
2021-12-22,Steps,53.0,636.0,12
2021-12-23,Sleep,,0.0,4
2021-12-23,Steps,119.60606060606061,3947.0,33
2021-12-24,Sleep,,0.0,4
2021-12-24,Steps,125.11111111111111,3378.0,27
2021-12-25,Sleep,,0.0,1
2021-12-25,Steps,74.875,1797.0,24
2021-12-26,Sleep,,0.0,14
2021-12-26,Steps,52.04761904761905,1093.0,21
2021-12-27,Sleep,,0.0,3
2021-12-27,Steps,53.54545454545455,1178.0,22
2021-12-28,Sleep,,0.0,1
2021-12-28,Steps,126.47058823529412,4300.0,34
2021-12-29,Sleep,,0.0,41
2021-12-29,Steps,72.11111111111111,2596.0,36
2021-12-30,Sleep,,0.0,2
2021-12-30,Steps,65.0,1495.0,23
2021-12-31,Sleep,,0.0,2
2021-12-31,Steps,135.2941176470588,4600.0,34
2022-01-01,Sleep,,0.0,3
2022-01-01,Steps,95.23529411764706,3238.0,34
2022-01-02,Sleep,,0.0,2
2022-01-02,Steps,138.8709677419355,4305.0,31
2022-01-03,Sleep,,0.0,5
2022-01-03,Steps,68.51612903225806,2124.0,31
2022-01-04,Sleep,,0.0,5
2022-01-04,Steps,55.0,1485.0,27
2022-01-05,Sleep,,0.0,5
2022-01-05,Steps,176.74074074074073,4772.0,27
2022-01-06,Sleep,,0.0,9
2022-01-06,Steps,75.16666666666667,2255.0,30
2022-01-07,Sleep,,0.0,1
2022-01-07,Steps,211.6315789473684,4021.0,19
2022-01-08,Sleep,,0.0,1
2022-01-08,Steps,106.64516129032258,3306.0,31
2022-01-09,Steps,152.86046511627907,6573.0,43
2022-01-10,Sleep,,0.0,2
2022-01-10,Steps,123.0,4797.0,39
2022-01-11,Sleep,,0.0,1
2022-01-11,Steps,204.46153846153845,7974.0,39
2022-01-12,Sleep,,0.0,1
2022-01-12,Steps,191.06666666666666,5732.0,30
2022-01-13,Sleep,,0.0,3
2022-01-13,Steps,177.1304347826087,8148.0,46
2022-01-14,Sleep,,0.0,3
2022-01-14,Steps,133.12820512820514,5192.0,39
2022-01-15,Sleep,,0.0,1
2022-01-15,Steps,196.5,8253.0,42
2022-01-16,Sleep,,0.0,1
2022-01-16,Steps,173.70833333333334,4169.0,24
2022-01-17,Sleep,,0.0,1
2022-01-17,Steps,98.25,3144.0,32
2022-01-18,Sleep,,0.0,1
2022-01-18,Steps,71.16129032258064,2206.0,31
2022-01-19,Sleep,,0.0,3
2022-01-19,Steps,93.6923076923077,2436.0,26
2022-01-20,Sleep,,0.0,1
2022-01-20,Steps,86.35897435897436,3368.0,39
2022-01-21,Sleep,,0.0,2
2022-01-21,Steps,74.18181818181819,2448.0,33
2022-01-22,Sleep,,0.0,3
2022-01-22,Steps,229.45714285714286,8031.0,35
2022-01-23,Sleep,,0.0,1
2022-01-23,Steps,240.58490566037736,12751.0,53
2022-01-24,Sleep,,0.0,2
2022-01-24,Steps,121.11111111111111,3270.0,27
2022-01-25,Sleep,,0.0,5
2022-01-25,Steps,124.45161290322581,3858.0,31
2022-01-26,Sleep,,0.0,3
2022-01-26,Steps,193.8684210526316,7367.0,38
2022-01-27,Sleep,,0.0,1
2022-01-27,Steps,247.05405405405406,9141.0,37
2022-01-28,Sleep,,0.0,2
2022-01-28,Steps,118.32352941176471,4023.0,34
2022-01-29,Sleep,,0.0,2
2022-01-29,Steps,205.96774193548387,6385.0,31
2022-01-30,Sleep,,0.0,3
2022-01-30,Steps,106.86666666666666,3206.0,30
2022-01-31,Sleep,,0.0,2
2022-01-31,Steps,103.89655172413794,3013.0,29
2022-02-01,Sleep,,0.0,1
2022-02-01,Steps,234.85714285714286,8220.0,35
2022-02-02,Sleep,,0.0,4
2022-02-02,Steps,165.88571428571427,5806.0,35
2022-02-03,Sleep,,0.0,1
2022-02-03,Steps,289.265306122449,14174.0,49
2022-02-04,Sleep,,0.0,1
2022-02-04,Steps,211.9512195121951,8690.0,41
2022-02-05,Sleep,,0.0,1
2022-02-05,Steps,147.5,6195.0,42
2022-02-06,Sleep,,0.0,1
2022-02-06,Steps,230.1860465116279,9898.0,43
2022-02-07,Sleep,,0.0,1
2022-02-07,Steps,101.375,4055.0,40
2022-02-08,Sleep,,0.0,2
2022-02-08,Steps,87.05882352941177,2960.0,34
2022-02-09,Sleep,,0.0,1
2022-02-09,Steps,78.55555555555556,2121.0,27
2022-02-10,Sleep,,0.0,1
2022-02-10,Steps,176.33333333333334,6877.0,39
2022-02-11,Sleep,,0.0,1
2022-02-11,Steps,215.25,10332.0,48
2022-02-12,Sleep,,0.0,3
2022-02-12,Steps,161.89743589743588,6314.0,39
2022-02-13,Sleep,,0.0,1
2022-02-13,Steps,144.0625,4610.0,32
2022-02-14,Sleep,,0.0,1
2022-02-14,Steps,136.67567567567568,5057.0,37
2022-02-15,Sleep,,0.0,4
2022-02-15,Steps,78.63888888888889,2831.0,36
2022-02-16,Sleep,,0.0,1
2022-02-16,Steps,73.84,1846.0,25
2022-02-17,Sleep,,0.0,2
2022-02-17,Steps,157.47222222222223,5669.0,36
2022-02-18,Sleep,,0.0,1
2022-02-18,Steps,141.77777777777777,5104.0,36
2022-02-19,Sleep,,0.0,1
2022-02-19,Steps,138.9512195121951,5697.0,41
2022-02-20,Sleep,,0.0,2
2022-02-20,Steps,97.52777777777777,3511.0,36
2022-02-21,Sleep,,0.0,1
2022-02-21,Steps,67.21739130434783,1546.0,23
2022-02-22,Sleep,,0.0,3
2022-02-22,Steps,227.325,9093.0,40
2022-02-23,Sleep,,0.0,1
2022-02-23,Steps,116.025,4641.0,40
2022-02-24,Sleep,,0.0,1
2022-02-24,Steps,93.64285714285714,2622.0,28
2022-02-25,Sleep,,0.0,1
2022-02-25,Steps,212.80555555555554,7661.0,36
2022-02-26,Sleep,,0.0,1
2022-02-26,Steps,95.19565217391305,4379.0,46
2022-02-27,Sleep,,0.0,9
2022-02-27,Steps,159.91304347826087,7356.0,46
2022-02-28,Sleep,,0.0,4
2022-02-28,Steps,112.8157894736842,4287.0,38
2022-03-01,Sleep,,0.0,5
2022-03-01,Steps,90.91304347826087,4182.0,46
2022-03-02,Sleep,,0.0,1
2022-03-02,Steps,120.96,3024.0,25
2022-03-03,Sleep,,0.0,2
2022-03-03,Steps,110.91176470588235,3771.0,34
2022-03-04,Sleep,,0.0,1
2022-03-04,Steps,138.20833333333334,3317.0,24
2022-03-05,Sleep,,0.0,32
